name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors,population_density,GDP Per Capita,exports,imports
Canada,CAN,True,Canadian dollar,English;French,False,USA,9984670.0,38005238,UTC-08:00;UTC-07:00;UTC-06:00;UTC-05:00;UTC-04:00;UTC-03:30,red;white,4.4,55597.0,United States;China;Japan,United States;China;Mexico
Malawi,MWI,True,Malawian kwacha,English;Chewa,True,MOZ;TZA;ZMB,118484.0,19129955,UTC+02:00,black;red;green,229.0,615.0,Belgium;Tanzania;China,China;South Africa;United Arab Emirates
Saudi Arabia,SAU,True,Saudi riyal,Arabic,False,IRQ;JOR;KWT;OMN;QAT;ARE;YEM,2149690.0,34813867,UTC+03:00,green;white,15.8,30436.0,United Arab Emirates;China,China;United States;United Arab Emirates
Bosnia and Herzegovina,BIH,True,Bosnia and Herzegovina convertible mark,Bosnian;Croatian;Serbian,False,HRV;MNE;SRB,51209.0,3280815,UTC+01:00,blue;gold,61.8,7569.0,Germany;Croatia;Serbia,Italy;Germany;Serbia
Ethiopia,ETH,True,Ethiopian birr,Amharic,True,DJI;ERI;KEN;SOM;SSD;SDN,1104300.0,114963583,UTC+03:00,green;yellow;red;blue,132.1,964.0,,
Spain,ESP,True,Euro,Spanish;Catalan;Basque;Galician,False,AND;FRA;GIB;PRT;MAR,505992.0,47351567,UTC;UTC+01:00,red;gold,95.4,29771.0,France;Germany;Italy,Germany;China;France
Slovenia,SVN,True,Euro,Slovene,False,AUT;HRV;ITA;HUN,20273.0,2100126,UTC+01:00,white;blue;red,105.2,28295.0,Switzerland;Germany;Italy,Switzerland;China;Germany
Oman,OMN,True,Omani rial,Arabic,False,SAU;ARE;YEM,309500.0,5106622,UTC+04:00,red;white;green,17.1,25057.0,United Arab Emirates;Saudi Arabia,United Arab Emirates;Saudi Arabia;India
San Marino,SMR,True,Euro,Italian,True,ITA,61.0,33938,UTC+01:00,white;lightblue,550.5,52903.0,,
Lesotho,LSO,True,Lesotho loti;South African rand,English;Sotho,True,ZAF,30355.0,2142252,UTC+02:00,blue;white;green;black,77.0,992.0,South Africa;United States;Belgium,South Africa;China;
Marshall Islands,MHL,True,United States dollar,English;Marshallese,False,,181.0,59194,UTC+12:00,blue;white;orange,208.6,6728.0,Netherlands;United Kingdom;Germany,Singapore;China;South Korea
Iceland,ISL,True,Icelandic króna,Icelandic,False,,103000.0,366425,UTC,blue;white;red,3.9,75260.0,Netherlands;United States;United Kingdom,Norway;Germany;China
Luxembourg,LUX,True,Euro,German;French;Luxembourgish,True,BEL;FRA;DEU,2586.0,632275,UTC+01:00,red;white;lightblue,259.9,125897.0,Germany;France;Belgium,Belgium;Germany;France
Argentina,ARG,True,Argentine peso,Guaraní;Spanish,False,BOL;BRA;CHL;PRY;URY,2780400.0,45376763,UTC-03:00,lightblue;white,16.4,13868.0,Brazil;United States;China,Brazil;China;United States
Nauru,NRU,True,Australian dollar,English;Nauru,False,,21.0,10834,UTC+12:00,blue;yellow;white,597.3,11679.0,,
Dominica,DMA,True,Eastern Caribbean dollar,English,False,,751.0,71991,UTC-04:00,green;yellow;black;white;red,88.3,8415.0,Trinidad and Tobago;Antigua and Barbuda;France,United States;Trinidad and Tobago;China
Costa Rica,CRI,True,Costa Rican colón,Spanish,False,NIC;PAN,51100.0,5094114,UTC-06:00,blue;white;red,100.5,13199.0,United States;Netherlands;Guatemala,United States;China;Mexico
Australia,AUS,True,Australian dollar,English,False,,7692024.0,25687041,UTC+05:00;UTC+06:30;UTC+07:00;UTC+08:00;UTC+09:30;UTC+10:00;UTC+10:30;UTC+11:30,green;gold,3.5,67867.0,China;Japan,China;United States;Japan
Thailand,THA,True,Thai baht,Thai,False,MMR;KHM;LAO;MYS,513120.0,69799978,UTC+07:00,red;white;blue,140.3,6909.0,United States;China;Japan,China;Japan;United States
Haiti,HTI,True,Haitian gourde,French;Haitian Creole,False,DOM,27750.0,11402533,UTC-05:00,blue;red,427.0,1619.0,United States;Canada;Mexico,United States;Dominican Republic;China
Tuvalu,TUV,True,Australian dollar;Tuvaluan dollar,English;Tuvaluan,False,,26.0,11792,UTC+12:00,skyblue;yellow;white,321.5,5219.0,Thailand;Japan;Philippines,Singapore;China;Fiji
Honduras,HND,True,Honduran lempira,Spanish,False,GTM;SLV;NIC,112492.0,9904608,UTC-06:00,turquoiseblue;white,99.3,3040.0,United States;Germany;El Salvador,United States;China;Mexico
Equatorial Guinea,GNQ,True,Central African CFA franc,French;Portuguese;Spanish,False,CMR;GAB,28051.0,1402985,UTC+01:00,green;white;red;blue,67.5,7026.0,China;India;Netherlands,China;Spain;Gabon
Saint Lucia,LCA,True,Eastern Caribbean dollar,English,False,,616.0,183629,UTC-04:00,lightblue;yellow;black;white,291.8,12038.0,Guyana;United States;Suriname,United States;Russia;Guyana
Belarus,BLR,True,Belarusian ruble,Belarusian;Russian,True,LVA;LTU;POL;RUS;UKR,207600.0,9398861,UTC+03:00,red;green;white,44.6,7643.0,Russia;Poland,Areas nes;Russia;China
Latvia,LVA,True,Euro,Latvian,False,BLR;EST;LTU;RUS,64559.0,1901548,UTC+02:00,carmine;white,30.1,22088.0,Lithuania;Estonia;Germany,Lithuania;Germany;Poland
Palau,PLW,True,United States dollar,English;Palauan,False,,459.0,18092,UTC+09:00,lightblue;yellow,38.5,12498.0,Turkey;United States;Japan,Italy;China;Turkey
Philippines,PHL,True,Philippine peso,English;Filipino,False,,342353.0,109581085,UTC+08:00,blue;red;white;yellow,386.1,3499.0,United States;China;Japan,China;Indonesia;Japan
Denmark,DNK,True,Danish krone,Danish,False,DEU,43094.0,5831404,UTC-04:00;UTC-03:00;UTC-01:00;UTC;UTC+01:00,red;white,141.0,68029.0,Germany;Sweden,Germany;Sweden;Norway
Cameroon,CMR,True,Central African CFA franc,English;French,False,CAF;TCD;COG;GNQ;GAB;NGA,475442.0,26545864,UTC+01:00,green;red;yellow,62.5,1588.0,China;Netherlands;India,China;France;India
