name,cca3,un_member,currencies,languages,landlocked,borders,area,population,timezones,flag_colors
Argentina,ARG,True,Argentine peso,Guaraní;Spanish,False,BOL;BRA;CHL;PRY;URY,2780400.0,45376763,UTC-03:00,lightblue;white
Nauru,NRU,True,Australian dollar,English;Nauru,False,,21.0,10834,UTC+12:00,blue;yellow;white
Dominica,DMA,True,Eastern Caribbean dollar,English,False,,751.0,71991,UTC-04:00,green;yellow;black;white;red
Costa Rica,CRI,True,Costa Rican colón,Spanish,False,NIC;PAN,51100.0,5094114,UTC-06:00,blue;white;red
Australia,AUS,True,Australian dollar,English,False,,7692024.0,25687041,UTC+05:00;UTC+06:30;UTC+07:00;UTC+08:00;UTC+09:30;UTC+10:00;UTC+10:30;UTC+11:30,green;gold
Thailand,THA,True,Thai baht,Thai,False,MMR;KHM;LAO;MYS,513120.0,69799978,UTC+07:00,red;white;blue
Haiti,HTI,True,Haitian gourde,French;Haitian Creole,False,DOM,27750.0,11402533,UTC-05:00,blue;red
Tuvalu,TUV,True,Australian dollar;Tuvaluan dollar,English;Tuvaluan,False,,26.0,11792,UTC+12:00,skyblue;yellow;white
Honduras,HND,True,Honduran lempira,Spanish,False,GTM;SLV;NIC,112492.0,9904608,UTC-06:00,turquoiseblue;white
Equatorial Guinea,GNQ,True,Central African CFA franc,French;Portuguese;Spanish,False,CMR;GAB,28051.0,1402985,UTC+01:00,green;white;red;blue
Saint Lucia,LCA,True,Eastern Caribbean dollar,English,False,,616.0,183629,UTC-04:00,lightblue;yellow;black;white
Belarus,BLR,True,Belarusian ruble,Belarusian;Russian,True,LVA;LTU;POL;RUS;UKR,207600.0,9398861,UTC+03:00,red;green;white
Latvia,LVA,True,Euro,Latvian,False,BLR;EST;LTU;RUS,64559.0,1901548,UTC+02:00,carmine;white
Palau,PLW,True,United States dollar,English;Palauan,False,,459.0,18092,UTC+09:00,lightblue;yellow
Philippines,PHL,True,Philippine peso,English;Filipino,False,,342353.0,109581085,UTC+08:00,blue;red;white;yellow
Denmark,DNK,True,Danish krone,Danish,False,DEU,43094.0,5831404,UTC-04:00;UTC-03:00;UTC-01:00;UTC;UTC+01:00,red;white
Cameroon,CMR,True,Central African CFA franc,English;French,False,CAF;TCD;COG;GNQ;GAB;NGA,475442.0,26545864,UTC+01:00,green;red;yellow
Guinea,GIN,True,Guinean franc,French,False,CIV;GNB;LBR;MLI;SEN;SLE,245857.0,13132792,UTC,red;yellow;green
Bahrain,BHR,True,Bahraini dinar,Arabic,False,,765.0,1701583,UTC+03:00,red;white
Suriname,SUR,True,Surinamese dollar,Dutch,False,BRA;GUF;GUY,163820.0,586634,UTC-03:00,white;green
DR Congo,COD,True,Congolese franc,French;Kikongo;Lingala;Tshiluba;Swahili,False,AGO;BDI;CAF;COG;RWA;SSD;TZA;UGA;ZMB,2344858.0,108407721,UTC+01:00;UTC+02:00,blue;yellow;red
Somalia,SOM,True,Somali shilling,Arabic;Somali,False,DJI;ETH;KEN,637657.0,15893219,UTC+03:00,blue;white
Czechia,CZE,True,Czech koruna,Czech;Slovak,True,AUT;DEU;POL;SVK,78865.0,10698896,UTC+01:00,red;white;blue
Vanuatu,VUT,True,Vanuatu vatu,Bislama;English;French,False,,12189.0,307150,UTC+11:00,red;green;black;yellow
Togo,TGO,True,West African CFA franc,French,False,BEN;BFA;GHA,56785.0,8278737,UTC,green;yellow;red;white
Kenya,KEN,True,Kenyan shilling,English;Swahili,False,ETH;SOM;SSD;TZA;UGA,580367.0,53771300,UTC+03:00,black;red;green;white
Rwanda,RWA,True,Rwandan franc,English;French;Kinyarwanda,True,BDI;COD;TZA;UGA,26338.0,12952209,UTC+02:00,skyblue;yellow;green
Estonia,EST,True,Euro,Estonian,False,LVA;RUS,45227.0,1331057,UTC+02:00,blue;black;white
Romania,ROU,True,Romanian leu,Romanian,False,BGR;HUN;MDA;SRB;UKR,238391.0,19286123,UTC+02:00,blue;yellow;red
Trinidad and Tobago,TTO,True,Trinidad and Tobago dollar,English,False,,5130.0,1399491,UTC-04:00,red;white;black
Guyana,GUY,True,Guyanese dollar,English,False,BRA;SUR;VEN,214969.0,786559,UTC-04:00,yellow;green
Timor-Leste,TLS,True,United States dollar,Portuguese;Tetum,False,IDN,14874.0,1318442,UTC+09:00,red;yellow;black;white
Vietnam,VNM,True,Vietnamese đồng,Vietnamese,False,KHM;CHN;LAO,331212.0,97338583,UTC+07:00,yellow;red
Uruguay,URY,True,Uruguayan peso,Spanish,False,ARG;BRA,181034.0,3473727,UTC-03:00,blue;white
Vatican City,VAT,False,Euro,Italian;Latin,True,ITA,0.44,451,UTC+01:00,white;gold
Austria,AUT,True,Euro,German,True,CZE;DEU;HUN;ITA;LIE;SVK;SVN;CHE,83871.0,8917205,UTC+01:00,red;white
Antigua and Barbuda,ATG,True,Eastern Caribbean dollar,English,False,,442.0,97928,UTC-04:00,red;white;blue;black;yellow
Turkmenistan,TKM,True,Turkmenistan manat,Russian;Turkmen,True,AFG;IRN;KAZ;UZB,488100.0,6031187,UTC+05:00,green;white
Mozambique,MOZ,True,Mozambican metical,Portuguese,False,MWI;ZAF;SWZ;TZA;ZMB;ZWE,801590.0,31255435,UTC+02:00,green;yellow;red;black;white
Panama,PAN,True,Panamanian balboa;United States dollar,Spanish,False,COL;CRI,75417.0,4314768,UTC-05:00,blue;white;red
Micronesia,FSM,True,United States dollar,English,False,,702.0,115021,UTC+10:00;UTC+11:00,lightblue;white
Ireland,IRL,True,Euro,English;Irish,False,GBR,70273.0,4994724,UTC,green;white;orange
Norway,NOR,True,Norwegian krone,Norwegian Nynorsk;Norwegian Bokmål;Sami,False,FIN;SWE;RUS,323802.0,5379475,UTC+01:00,red;blue;white
Central African Republic,CAF,True,Central African CFA franc,French;Sango,True,CMR;TCD;COD;COG;SSD;SDN,622984.0,4829764,UTC+01:00,blue;white;green;yellow;red
Burkina Faso,BFA,True,West African CFA franc,French,True,BEN;CIV;GHA;MLI;NER;TGO,272967.0,20903278,UTC,red;green;yellow
Eritrea,ERI,True,Eritrean nakfa,Arabic;English;Tigrinya,False,DJI;ETH;SDN,117600.0,5352000,UTC+03:00,green;blue;red;yellow
Tanzania,TZA,True,Tanzanian shilling,English;Swahili,False,BDI;COD;KEN;MWI;MOZ;RWA;UGA;ZMB,945087.0,59734213,UTC+03:00,green;yellow;blue;black
South Korea,KOR,True,South Korean won,Korean,False,PRK,100210.0,51780579,UTC+09:00,white;red;blue;black
Jordan,JOR,True,Jordanian dinar,Arabic,False,IRQ;ISR;PSE;SAU;SYR,89342.0,10203140,UTC+03:00,black;white;green;red
